arm,seed,evaluated_window_count,model_native_target_count_including_eos,declared_fact_count,eos_target_count,type_bits_per_declared_fact,time_bits_per_declared_fact,pitch_bits_per_declared_fact,duration_bits_per_declared_fact,side_information_bits_per_window,side_information_bits,factor_sum_bits_per_declared_fact,paper_bits_per_declared_fact
A,20260819,1979,244248,242269,1979,0.03783172057610438,1.1615871365282346,3.07902010829194,2.844808249024825,0,0,7.123247214421104,7.123247210359954
A,20260820,1979,244248,242269,1979,0.03771668400190137,1.1531351326146588,3.077877208750317,2.8393256642859903,0,0,7.108054689652867,7.108054681646186
A,20260821,1979,244248,242269,1979,0.03758171991635935,1.16215802340156,3.0802226417332266,2.837275373723873,0,0,7.117237758775019,7.117237752642585
B,20260819,1979,244248,242269,1979,0.017165979994740507,0.9190364209244342,2.856230090637457,2.6611086760303913,0,0,6.453541167587023,6.4535411667413705
B,20260820,1979,244248,242269,1979,0.017295960658918044,0.9038891762224904,2.8247215511838992,2.663853986417244,0,0,6.409760674482552,6.409760674082477
B,20260821,1979,244248,242269,1979,0.017817967099781326,0.9094437815928749,2.8255165043429957,2.6506142802357218,0,0,6.403392533271374,6.403392530167958
C,20260819,1979,244248,242269,1979,0.01681900244366636,0.875305130385863,2.7869615286520806,2.6547906262553274,0,0,6.3338762877369374,6.33387627656945
C,20260820,1979,244248,242269,1979,0.016503098059013614,0.881086909449903,2.816526421600896,2.656972204197155,0,0,6.371088633306967,6.371088627799463
C,20260821,1979,244248,242269,1979,0.016391362642342016,0.8756281310614398,2.7443114034302396,2.638577311896366,0,0,6.274908209030388,6.274908202434068
D,20260819,1979,244248,242269,1979,0.016643310825536804,0.8710529847803207,2.7520840352832154,2.642297475361777,0,0,6.28207780625085,6.282077803739924
D,20260820,1979,244248,242269,1979,0.01627241221948562,0.8718313689742756,2.731102213427651,2.6481105003815384,0,0,6.267316495002951,6.267316487234779
D,20260821,1979,244248,242269,1979,0.01630170606047491,0.8732242583980446,2.7332949199046888,2.63206366572269,0,0,6.254884550085898,6.254884556766985
E,20260819,1979,244248,242269,1979,0.01614811940615546,0.8683016730991556,2.7557152400241214,2.6453258888713274,0,0,6.2854909214007595,6.285490923056098
E,20260820,1979,244248,242269,1979,0.016276382437856514,0.8556343803858882,2.7288015398530083,2.64025547493858,0,0,6.2409677776153325,6.240967768675655
E,20260821,1979,244248,242269,1979,0.016617173239826685,0.8724942747954866,2.7841181288435095,2.6355546769482294,0,0,6.308784253827052,6.3087842508242415
F,20260819,1500,175046,173546,1500,0.016486562939969654,0.871920061681207,2.918404873924786,2.6854423348032097,0,0,6.492253833349173,6.492253829414831
F,20260820,1500,175046,173546,1500,0.01636475570059428,0.8788518825477007,2.9033572546524113,2.6948547103604312,0,0,6.493428603261138,6.493428595789145
F,20260821,1500,175046,173546,1500,0.016798086879246863,0.8757520938071278,2.899740097765037,2.682599670965144,0,0,6.474889949416555,6.474889939769637
G,20260819,1500,175046,173546,1500,0.016035059662093672,0.8761284868317911,2.7799475252885384,2.6980020042319497,4,6000,6.404686042259633,6.404686026949833
G,20260820,1500,175046,173546,1500,0.016991904217208764,0.8776051491766181,2.766603846784649,2.694710938802332,4,6000,6.390484805226069,6.39048481120926
G,20260821,1500,175046,173546,1500,0.016630979495600436,0.8807137810873937,2.7632361313079223,2.698604576420712,4,6000,6.393758434556889,6.393758426273423
H,20260819,1979,244248,242269,1979,0.016663861811994425,0.8645177235430747,2.714728506666636,2.6389811987877887,0,0,6.234891290809494,6.234891288550654
H,20260820,1979,244248,242269,1979,0.01628534172987741,0.8620676001718672,2.7049259777938346,2.636042936742526,0,0,6.219321856438105,6.219321852612101
H,20260821,1979,244248,242269,1979,0.016350950283492868,0.8773515890476765,2.720146807522108,2.6410833471341086,0,0,6.254932693987386,6.254932701828888
I,20260819,1979,244248,242269,1979,0.016347700330825173,0.8790468970711571,2.810857125950027,2.6465044354219507,0,0,6.35275615877396,6.352756163429778
I,20260820,1979,244248,242269,1979,0.016324586617708352,0.8787318201269556,2.808605437643479,2.6453433811614446,0,0,6.349005225549587,6.349005226523825
I,20260821,1979,244248,242269,1979,0.016588866982840265,0.8768114247389961,2.773172912473984,2.6357317895148293,0,0,6.30230499371065,6.302304989839648
