MIDI,Keyname,OriginalNumericID,SourceSongID,SourcePath,SourceByteSHA256,EstimationSourcePath,EstimationSourceSHA256,NoteContentSHA256,FramePC,CanonicalShift,PrimaryMethod,SecondaryMethod,MappingSource,SourceManifestSHA256
music21_0.mid,A,0,pop1k7:src_001:0,data/pop1k7_official/Pop1K7/midi_analyzed/src_001/0.mid,2efb4731628ba1da2e8f4452c9e1f6c76bf94c5f3eca85c435db8ee8e6da5157,data/pop1k7_official/Pop1K7/midi_synchronized/src_001/0.mid,d405f97182c56555784b84440b40b5ab4c950cfa0870bfae67635e84fc0a4ac2,a58e87717938267efd5fc612e2c1c2cd71b12001188806ea3e12a884bd07b9be,9,3,music21.key.krumhanslschmuckler,music21.key.aardenessen,same_release_path_plus_note_hash_music21_consensus_v1,53664a7ef3eed4af690568e16a357a2f88698e7f0a05fe854316b884807534da
music21_2.mid,e,2,pop1k7:src_001:2,data/pop1k7_official/Pop1K7/midi_analyzed/src_001/2.mid,ddcf18ead68690f21ed292d5f32b894bee5f64db130f080256243cc258da5422,data/pop1k7_official/Pop1K7/midi_synchronized/src_001/2.mid,0792dc31f4e4da41abf50ca9b5a21ba1ab822b6c945868a2993b84b305c7359c,c02273b5f83a062748ce71b2bf4f53ecb0db4622b5f64f32d778d3625a5840d6,7,5,music21.key.krumhanslschmuckler,music21.key.aardenessen,same_release_path_plus_note_hash_music21_consensus_v1,53664a7ef3eed4af690568e16a357a2f88698e7f0a05fe854316b884807534da
music21_3.mid,D,3,pop1k7:src_001:3,data/pop1k7_official/Pop1K7/midi_analyzed/src_001/3.mid,9617b8a3c96dfe944fc69fe70ebd87b528aa0811afa73cbbe800c1037997a206,data/pop1k7_official/Pop1K7/midi_synchronized/src_001/3.mid,f88c6e4e09c8b1fb224dabbd137a14acada40a9a3f1bff18b7bbff4f491b9967,53b19cae0d4a8d782b504d17fa47a38f92317c66dddb46929909c98c44509f79,2,-2,music21.key.krumhanslschmuckler,music21.key.aardenessen,same_release_path_plus_note_hash_music21_consensus_v1,53664a7ef3eed4af690568e16a357a2f88698e7f0a05fe854316b884807534da
music21_5.mid,Eb,5,pop1k7:src_001:5,data/pop1k7_official/Pop1K7/midi_analyzed/src_001/5.mid,5df8b7a0c38d6e53934da3363a42a1e72f9d4abc086fd4c34549c706fb34e411,data/pop1k7_official/Pop1K7/midi_synchronized/src_001/5.mid,3ff9b2422b7e938b2d08cbc6374092bcec9f4f490ed842eebcf6919793754fd9,e9b407b47612c552b7e082ab26fdfdf43d22210853afbbf65fa9604f7950c98d,3,-3,music21.key.krumhanslschmuckler,music21.key.aardenessen,same_release_path_plus_note_hash_music21_consensus_v1,53664a7ef3eed4af690568e16a357a2f88698e7f0a05fe854316b884807534da
music21_7.mid,c,7,pop1k7:src_001:7,data/pop1k7_official/Pop1K7/midi_analyzed/src_001/7.mid,ca903441a5c54e171950aba0a31eb80b08afd7238ea87a275945d65cba88bdfe,data/pop1k7_official/Pop1K7/midi_synchronized/src_001/7.mid,e3c438c27d1cb00af7f973b30a48dfe35c9e63e94d86676e31542f16ad30fb84,4af69628fdfd43793073e5df8f32129cb574d43a5ba4aff7453fbf0ba20f6280,3,-3,music21.key.krumhanslschmuckler,music21.key.aardenessen,same_release_path_plus_note_hash_music21_consensus_v1,53664a7ef3eed4af690568e16a357a2f88698e7f0a05fe854316b884807534da
music21_8.mid,c,8,pop1k7:src_001:8,data/pop1k7_official/Pop1K7/midi_analyzed/src_001/8.mid,4606cdb6637828ed7038757d1f3c5fef1983eddb3f9381b8912091b0254e42b7,data/pop1k7_official/Pop1K7/midi_synchronized/src_001/8.mid,9da5dacd5d06ecdda600cc27ccfc3ef3b66845e667fe92542c61435421180098,cf6f040f5b46fa6bf2221dbe046ad49e0c06b56adcd09d09f4dfa14e275335e5,3,-3,music21.key.krumhanslschmuckler,music21.key.aardenessen,same_release_path_plus_note_hash_music21_consensus_v1,53664a7ef3eed4af690568e16a357a2f88698e7f0a05fe854316b884807534da
music21_10.mid,f#,10,pop1k7:src_001:10,data/pop1k7_official/Pop1K7/midi_analyzed/src_001/10.mid,f13b37a0fce995ae0da213a3b904a3d59b6560c80e337701848f99888557c40c,data/pop1k7_official/Pop1K7/midi_synchronized/src_001/10.mid,daab2f5ee1ff691d0fb84e3874d6f2fa4d981890943dbe74ebbd4d0fd13b1e69,51cd428a0041feb924e87d536941536fa767292b536f8e5cbf270b4863843b09,9,3,music21.key.krumhanslschmuckler,music21.key.aardenessen,same_release_path_plus_note_hash_music21_consensus_v1,53664a7ef3eed4af690568e16a357a2f88698e7f0a05fe854316b884807534da
music21_12.mid,d,12,pop1k7:src_001:12,data/pop1k7_official/Pop1K7/midi_analyzed/src_001/12.mid,328e7a21a41e45ecb232f2f08502b8783ef6723610ee01d956e813073eee2011,data/pop1k7_official/Pop1K7/midi_synchronized/src_001/12.mid,a374d739516c33ea09db5d9bac7599a85748c7b5a88a8ffba224b6c09b5e3070,1cf2975637a6fe412159adbcea91d72c5d3edcf787307de1465b7a755de63909,5,-5,music21.key.krumhanslschmuckler,music21.key.aardenessen,same_release_path_plus_note_hash_music21_consensus_v1,53664a7ef3eed4af690568e16a357a2f88698e7f0a05fe854316b884807534da
music21_13.mid,C#,13,pop1k7:src_001:13,data/pop1k7_official/Pop1K7/midi_analyzed/src_001/13.mid,b1e008b9511defd7782ad8a33cc721f2e2dd7596e5189c4cc4d129d518dc33c1,data/pop1k7_official/Pop1K7/midi_synchronized/src_001/13.mid,4355bc9f7e2210e67965e4ea01ee7408dd12652902eb2b90a41a6e6980cbc992,31dab93dfffbf69a3ffd7c3e65dadf884a85ce14892a19760756955e726f23f4,1,-1,music21.key.krumhanslschmuckler,music21.key.aardenessen,same_release_path_plus_note_hash_music21_consensus_v1,53664a7ef3eed4af690568e16a357a2f88698e7f0a05fe854316b884807534da
music21_14.mid,C,14,pop1k7:src_001:14,data/pop1k7_official/Pop1K7/midi_analyzed/src_001/14.mid,553b7c3276fc0a0f46ae64338f4515f031368f53c66e9c8bcc1091dfc14c2797,data/pop1k7_official/Pop1K7/midi_synchronized/src_001/14.mid,09683f692c6705ba6681c0796503d568eaf5cf0d7ebed1f7e5a0bb45237e8fed,1d97ecb6864e9ead1e3cffdc097f4215e50a37a5d849992c9d26adfb65db0912,0,0,music21.key.krumhanslschmuckler,music21.key.aardenessen,same_release_path_plus_note_hash_music21_consensus_v1,53664a7ef3eed4af690568e16a357a2f88698e7f0a05fe854316b884807534da
