song_id,content_sha256,analyzer_1_key,analyzer_2_key,agreement,confidence,accepted,canonical_shift,split
pop1k7:src_001:0,2efb4731628ba1da2e8f4452c9e1f6c76bf94c5f3eca85c435db8ee8e6da5157,A,A,True,0.06061396222448889,True,3,train
pop1k7:src_001:1,a010070dda8c51ade517527562fc32fa2e776968c4f03a910500221f37f3e899,C,C,True,0.03140696400237186,False,0,train
pop1k7:src_001:2,ddcf18ead68690f21ed292d5f32b894bee5f64db130f080256243cc258da5422,e,e,True,0.0686336557745324,True,5,validation
pop1k7:src_001:3,9617b8a3c96dfe944fc69fe70ebd87b528aa0811afa73cbbe800c1037997a206,D,D,True,0.19094676961804147,True,-2,test
pop1k7:src_001:4,893f4d70c71c2efe881e7edfb1eebfc79933874108844439d35037493cd56dee,F#,F#,True,0.02665650838134892,False,6,validation
pop1k7:src_001:5,5df8b7a0c38d6e53934da3363a42a1e72f9d4abc086fd4c34549c706fb34e411,Eb,Eb,True,0.13936304173103642,True,-3,test
pop1k7:src_001:6,b01a0f48971342fd3de338e308a26fff01648466c1ac5c3f3eab16b3313bfc59,E,e,False,0.0003128183588622102,False,,train
pop1k7:src_001:7,ca903441a5c54e171950aba0a31eb80b08afd7238ea87a275945d65cba88bdfe,c,c,True,0.13414434805401498,True,-3,train
pop1k7:src_001:8,4606cdb6637828ed7038757d1f3c5fef1983eddb3f9381b8912091b0254e42b7,c,c,True,0.1117911286370128,True,-3,validation
pop1k7:src_001:9,a78ea6682f07f7fa73d85a5662cbb4144fbe4fd04935be610e4aa530515cb9fa,D,D,True,0.04930211249793903,False,-2,train
pop1k7:src_001:10,f13b37a0fce995ae0da213a3b904a3d59b6560c80e337701848f99888557c40c,f#,f#,True,0.26107683514629787,True,3,train
pop1k7:src_001:11,32324361f7ac254126aef9f96c027a70ec61ed46667fc2f25566897d21adae97,c,c,True,0.004399280245600767,False,-3,validation
pop1k7:src_001:12,328e7a21a41e45ecb232f2f08502b8783ef6723610ee01d956e813073eee2011,d,d,True,0.18757853273838598,True,-5,train
pop1k7:src_001:13,b1e008b9511defd7782ad8a33cc721f2e2dd7596e5189c4cc4d129d518dc33c1,C#,C#,True,0.18996999863087738,True,-1,train
pop1k7:src_001:14,553b7c3276fc0a0f46ae64338f4515f031368f53c66e9c8bcc1091dfc14c2797,C,C,True,0.06695987989929153,True,0,train
pop1k7:src_001:15,3213b3c86d56186230c449ad53319efa37dcdefc5ebc11ead87d21a06d2fde7c,Eb,Ab,False,0.020756902379333697,False,,train
pop1k7:src_001:16,fc1e3ee2d0fd85d110ea84534648761840c131ac41456ffcb7d3db9dea59da89,Eb,Eb,True,0.10592939249724831,True,-3,validation
pop1k7:src_001:17,6fd9e05f97538af6f6df54a0a8684cf77cb40667e666601b9e1bd794bd0c16ab,E,E,True,0.14896073611053007,True,-4,train
pop1k7:src_001:18,2c4403f488b6db54752de8fbd5715971f2ba3a903c491d51906a3f7f0c9fe12b,C#,C#,True,0.11011474031594437,True,-1,train
pop1k7:src_001:19,c07f6764586c8a729970bda417eacb3a97fd84daf3618bbdb5e7ef2ab46f58eb,A,e,False,0.008056697742146235,False,,test
pop1k7:src_001:20,3d9e10d9265e94967b40281d1edcbc18916f582cdb693ed7f0e806f053bb1bb2,F,f,False,0.057269364107710996,False,,validation
pop1k7:src_001:21,937559f5bbf0f65e8b02e3260b5a2e6eaa4b338bc81c62ae8b1d059bc9b44465,g,g,True,0.18028443272218553,True,2,test
pop1k7:src_001:22,87575ec955697c01577db82b0eafdf27ef697746e6618a4835912bc68327c230,Eb,Eb,True,0.018106131091023436,False,-3,train
pop1k7:src_001:23,f3015537fd3da85c048106f264c59ffcba84793f375e69ca175b7ebbbb84b74e,D,D,True,0.010202645857465886,False,-2,train
pop1k7:src_001:24,14643d301b7957115548baaf0d1a49f5d9985dba04ed368716f8243c7b0f9d39,bb,F#,False,0.09154416447689717,False,,test
pop1k7:src_001:25,28ff055ae460196956090596c49ef76582633ad478f448aba5e3393942bddc67,Ab,Ab,True,0.06957483995583635,True,4,test
pop1k7:src_001:26,664a42f67defe8d3077a92c62bc426255628f3170be07907f4f8f12938529bf6,Eb,Eb,True,0.18977491069637542,True,-3,train
pop1k7:src_001:27,f88af4a5558cb741cbff409fb78a17af399f7f453e9e109601d46c97955071a8,D,D,True,0.15061943547728807,True,-2,train
pop1k7:src_001:28,f494cbdbcc24ebe42dadaecb9380b770a77bc1be41e09b06c43efbf34d5d39aa,Ab,f,True,0.0017231480234847218,False,4,train
pop1k7:src_001:29,05146fc1a58bff031fc2134d71b880fdcbcb73c11b928244c565340b2ff4893f,D,D,True,0.08554612012971041,True,-2,train
pop1k7:src_001:30,cfc800169c27a95a9493a7cb303a5770856e36fe963878722c65286bbb0e0727,Eb,Eb,True,0.22815078237438835,True,-3,validation
pop1k7:src_001:31,d008c024d296298f3f230aad9605d81b4f50eea54d168c85c046167b083c3183,bb,bb,True,0.21283140069667694,True,-1,train
pop1k7:src_001:32,0ca0b6d75545b90b83df63d0143e76f12503ebee71a1d2d786a3b588f42061c1,G,G,True,0.04025347963250281,False,5,validation
pop1k7:src_001:33,aed5c6a99d6f644393178f35b76b80934ea1b4b160db5eedbdbdc0dba37c9399,e,C,False,0.009549181682098395,False,,train
pop1k7:src_001:34,32518896d281a0886bdb9faa62e194a62e0aaaf712342e66b28b05d197474ed0,ab,ab,True,0.16737143534834154,True,1,train
pop1k7:src_001:35,40e402e2896320198df0866f270ce9d81f7e8e2552dcd355a32ea23dc7878098,F,Bb,False,0.07378503460838648,False,,test
